Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Ecology	Data submission using ENA upload Tool	https://training.galaxyproject.org//topics/ecology/tutorials/ENA_Biodiv_submission/tutorial.html		Primer removal, Read pre-processing, Validation, Sequencing quality control, Read mapping, Visualisation, Sequence trimming	2024-12-13	2026-05-07	3	True	False	False	False	bg_uniq, ab1_fastq_converter, collection_element_identifiers, Paste1, cutadapt, fastq_to_fasta_python, ncbi_blastn_wrapper, falco, __RELABEL_FROM_FILE__, fastq_groomer, __FILTER_EMPTY_DATASETS__, fastq_filter, regex1, multiqc	UseGalaxy.eu	UseGalaxy.cz	0		415	438	5.65	0
Ecology	Taxonomic Analysis of eDNA	https://training.galaxyproject.org//topics/ecology/tutorials/eDNA-taxonomic-analysis/tutorial.html		Sequence contamination filtering, Sequencing quality control	2025-06-02	2026-05-07	3	True	False	False	True	fastp, ncbi_blastn_wrapper, Count1, cshl_fastq_to_fasta	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.no	0		779	952	4.916666666666667	0
Ecology	Biodiversity data exploration	https://training.galaxyproject.org//topics/ecology/tutorials/biodiversity-data-exploration/tutorial.html			2022-03-01	2026-04-24	16	True	False	True	True	tp_cut_tool, Remove beginning1, ecology_link_between_var, ecology_presence_abs_abund, ecology_beta_diversity, ecology_homogeneity_normality, ecology_stat_presence_abs, regexColumn1, tool_anonymization	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.fr	0		1824	2523	11.016666666666667	0
Ecology	Audio data annotation with NEAL (Nature + Energy Audio labeler)	https://training.galaxyproject.org//topics/ecology/tutorials/NEAL_tutorial/tutorial.html			2025-10-14	2025-11-06	3	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		126	145	6.533333333333333	0
Ecology	QGIS Web Feature Services	https://training.galaxyproject.org//topics/ecology/tutorials/QGIS_Web_Feature_Services/tutorial.html			2023-10-11	2026-05-07	7	True	False	False	False	interactive_tool_qgis	UseGalaxy.eu		0		382	432	9.55	0
Ecology	Cleaning GBIF data using OpenRefine	https://training.galaxyproject.org//topics/ecology/tutorials/openrefine_gbif/tutorial.html			2025-01-21	2026-05-07	7	True	False	False	False	interactive_tool_openrefine, regex1	UseGalaxy.eu, UseGalaxy.fr		0		278	331	7.483333333333333	0
Ecology	Object detection with YOLO	https://training.galaxyproject.org//topics/ecology/tutorials/yolo_predict_deepsea/tutorial.html			2026-05-06	2026-05-08	3	True	False	False	True	yolo_training, yolo_predict, unzip	UseGalaxy.eu		0		76	94	14.9	0
Genome Annotation	Genome annotation with Helixer	https://training.galaxyproject.org//topics/genome-annotation/tutorials/helixer/tutorial.html	Biodiversity, Genomics, Zoology, Plant biology	Differential protein expression profiling, Sequence annotation, Genome annotation, Sequence assembly validation, Gene prediction, Genome visualisation	2024-08-21	2025-06-04	8	True	False	False	True	busco, gffread, jcvi_gff_stats, jbrowse, omark, helixer			0		1769	2084	6.633333333333334	0
Genome Annotation	Genome annotation with Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/braker3/tutorial.html	Sequence assembly, Genomics, Biodiversity, Zoology, Plant biology	Differential protein expression profiling, Sequence annotation, Genome annotation, Sequence assembly validation, Gene prediction, Sequence alignment, Genome visualisation	2025-03-17	2025-06-20	4	True	False	False	True	busco, gffread, jbrowse, braker3, omark, rna_star, fasta-stats			0		2336	2808	4.816666666666666	0
Genome Annotation	Masking repeats with RepeatMasker	https://training.galaxyproject.org//topics/genome-annotation/tutorials/repeatmasker/tutorial.html	Sequence composition, complexity and repeats, Genomics	Mapping, RNA-Seq analysis, Genome annotation, Editing, Repeat sequence detection	2021-11-29	2025-06-03	22	True	False	True	True	red, bedtools_maskfastabed, repeatmasker_wrapper, repeatmodeler	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		11280	14237	4.2	0
Genome Annotation	Comparison of two annotation tools - Helixer and Braker3	https://training.galaxyproject.org//topics/genome-annotation/tutorials/comparison-braker-helixer-annotation/tutorial.html	Sequence assembly, Genomics	Sequence annotation, Genome annotation, Sequence assembly validation, Differential protein expression profiling, Gene prediction, Sequence alignment, Genome visualisation	2025-06-20	2025-06-25	2	True	False	False	True	busco, gffread, jbrowse, braker3, omark, rna_star, helixer			0		839	967	7.2	0
Genome Annotation	Refining Genome Annotations with Apollo (prokaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome visualisation	2021-06-04	2025-05-15	22	True	True	True	True	list_organism, iframe, create_or_update, jbrowse, create_account		UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no	0		3702793	8475459	13.216666666666667	0
Genome Annotation	Comparative gene analysis in unannotated genomes	https://training.galaxyproject.org//topics/genome-annotation/tutorials/gene-centric/tutorial.html	Genomics, Gene and protein families, Sequence analysis, Phylogeny, Comparative genomics	Sequence alignment analysis, De-novo assembly, Database search, Phylogenetic tree generation, Transcriptome assembly, Multiple sequence alignment, Coding region prediction	2022-09-08	2025-06-03	10	True	False	False	True	bg_diamond, gops_intersect_1, Filter1, tp_split_on_column, rbc_mafft, rapidnj, Cut1, tab2fasta, regexColumn1, bg_diamond_makedb, join1, Add_a_column1, collapse_dataset, bg_diamond_view, orfipy, cat1	UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz	0		2103	2878	9.933333333333334	0
Genome Annotation	Genome annotation with Funannotate	https://training.galaxyproject.org//topics/genome-annotation/tutorials/funannotate/tutorial.html	Gene and protein families	Sequence motif recognition, Sequence annotation, Homology-based gene prediction, Query and retrieval, Sequence assembly validation, Genome annotation, Fold recognition, Formatting, Information extraction, Protein feature detection, Sequence alignment, Genome visualisation	2021-11-29	2025-06-10	26	True	False	True	True	aegean_parseval, busco, picard_MergeSamFiles, eggnog_mapper, jbrowse, rna_star, funannotate_compare, funannotate_annotate, funannotate_predict, interproscan	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz	0		12207	16983	5.566666666666666	0
Genome Annotation	Functional annotation of protein sequences	https://training.galaxyproject.org//topics/genome-annotation/tutorials/functional/tutorial.html	Function analysis, Protein sites, features and motifs	Sequence alignment analysis, Sequence motif recognition, Homology-based gene prediction, Information extraction, Query and retrieval, Protein feature detection, Genome annotation, Fold recognition	2022-07-20	2025-06-03	12	True	False	False	True	ncbi_blastp_wrapper, bg_diamond, eggnog_mapper, interproscan	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.no	0		5173	6776	6.216666666666667	0
Genome Annotation	Refining Genome Annotations with Apollo (eukaryotes)	https://training.galaxyproject.org//topics/genome-annotation/tutorials/apollo-euk/tutorial.html	Genomics	Genome visualisation	2022-08-22	2025-06-03	16	True	False	False	False	iframe, create_or_update, jbrowse	UseGalaxy.no	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu	0		1749	2546	9.816666666666666	0
